lon,lat,rotrate,fix,mov
-124.32167704662875,-28.87042517704314,2.8722960702894063e9,na,ca001
-124.05743555774363,-32.254889875596724,2.3736178091025896e9,na,ca002
-119.96403381817943,-25.547395612945778,2.0436133928427014e9,na,ca003
-123.94898101725897,-21.487172116277662,1.38504212764032e9,na,ca004
-118.73232195283829,-26.502209394611047,2.276385174347195e9,na,ca005
-122.82692199848002,-24.49815685994186,1.8980823156975958e9,na,ca006
-148.47978904978834,-3.8312125660212297,4.1461727015837824e8,na,ca007
-174.90944919913716,-4.144034748647233,3.6687438554363567e8,na,ca008
-124.34918013863108,-28.919418087710113,2.6081162700838037e9,na,ca009
-127.37762523208717,-20.563595722272375,1.2791225345232198e9,na,ca010
-116.84206412684736,-39.19802082448023,2.008822037761671e9,na,ca011
-177.73196224312971,24.424545129211353,4.388648530651639e8,na,ca012
-127.52536543652151,-20.28223540153582,1.1741523015692446e9,na,ca013
-136.87601046600406,-11.297902271407732,8.069721733388695e8,na,ca014
-118.77402227539032,-26.698974415912566,2.1203771722975001e9,na,ca015
-117.80175061033674,-28.10986484356195,2.2366002880024643e9,na,ca016
-123.32915180857343,-23.98157142655829,1.5804631468223577e9,na,ca017
-120.83567378198909,-25.43187097778722,1.8723876681273315e9,na,ca060
-116.27130958875253,-33.55360222713017,4.722821079361308e9,na,ca018
-134.67876891730262,-11.528801541776282,8.340347907258397e8,na,ca019
-119.34303348924222,-33.25159054590447,3.424046867063043e9,na,ca020
59.048359907705105,24.449589393382734,3.4332456149237365e8,na,ca021
64.60323375361756,37.4352110055271,1.3569416140352921e9,na,ca022
-125.21614280121292,-23.45787156840448,1.880240544330336e9,na,ca023
58.64401788687139,29.856374928557763,1.3950818775949705e10,na,ca024
-123.63063828809403,-26.04954059285504,4.512717941122501e9,na,ca025
-126.46446286477041,-22.858617078682318,1.3426382464556997e9,na,ca026
-133.20711907836068,-11.392475881878815,8.063264142596211e8,na,ca027
-123.81212626553061,-31.397715368243116,4.6718202601522665e9,na,ca028
71.14142041351928,44.332946670843576,1.0293649346258333e9,na,ca029
-124.50642579330523,-25.576979317931322,2.312349511016696e9,na,ca030
-127.57809917980516,-19.819778326735946,1.1441086899170215e9,na,ca031
145.16471836323515,79.47026373294004,4.320372247977022e8,na,ca032
101.28681450078645,70.29407700089413,4.7186752410388106e8,na,ca033
63.037654648439485,41.067426846738755,2.479319595469933e9,na,ca034
-127.28412706366542,-24.268898987770765,1.6837504922286682e9,na,ca035
-127.55517820769533,-23.05995325064574,1.5055695899873097e9,na,ca036
-128.06935226567285,-16.965656617644584,1.0097191762920045e9,na,ca037
-125.17752275997837,-28.589095946648055,3.925187327422197e9,na,ca038
-127.0449764254194,-25.361401484925242,1.9605355459593704e9,na,ca039
-128.95133512521312,-19.169139914072055,9.841441278559214e8,na,ca040
-125.43568118299171,-24.462976238064485,2.5968448232211347e9,na,ca041
-128.15584282641098,-20.769271429291535,1.2301449981904688e9,na,arb
64.41351393855378,31.42294838653539,1.3717248050483212e9,na,ca042
-124.24389685932469,-25.623672528738073,4.2218813298701506e9,na,ca043
-124.6187707109031,-32.79617668485043,8.712666006502665e9,na,ca044
-129.18253669562583,-18.626839049551243,1.0035566934031076e9,na,ca045
94.4902355233664,81.83951343645653,4.3809796031596464e8,na,ca046
-138.48096142699418,30.36361215252281,3.880246194582111e8,na,ca047
55.232721032251604,29.06372102996826,8.159294652248082e8,na,ca048
-128.03813557795274,-19.962391040951264,1.1794383288709772e9,na,ca049
-127.66170732993423,-17.261765401522617,9.685544719840904e8,na,ca050
-127.80227007315683,-18.53335319733149,1.0584550595194273e9,na,ca051
51.301142896104864,55.686684887457965,9.277037562681789e8,na,ca052
