lon,lat,name,fix,mov,obs_ve,obs_vn,obs_ee,obs_en,pred_ve,pred_vn,cen,resid_e,resid_n
85.105,28.135,86454,1111,10,12.904413223266602,30.20245361328125,9.763485193252563,2.3666559159755707,8.65,32.18,0.0,4.255,-1.977
84.505,29.195,100319,1111,10,6.621188640594482,25.100072860717773,5.327995419502258,3.439222574234009,8.965,29.046,0.0,-2.343,-3.946
84.065,28.905,105999,1111,10,9.549992561340332,25.8810977935791,8.057767748832703,2.7160480618476868,8.696,28.927,0.0,0.854,-3.046
84.125,29.665,106649,1111,10,16.03005027770996,24.20288848876953,5.237429738044739,2.8417977690696716,8.495,28.036,0.0,7.535,-3.833
85.155,27.855,117456,1111,10,19.161510467529297,33.35277557373047,8.699782490730286,2.4940411746501923,8.292,32.514,0.0,10.869,0.839
85.165,29.275,130211,1111,10,2.3491806983947754,24.77227210998535,7.511113882064819,2.643110156059265,9.429,28.765,0.0,-7.08,-3.993
84.345,28.055,146567,1111,10,13.818732261657715,33.18661880493164,10.000474452972412,2.664143443107605,9.701,34.703,0.0,4.117,-1.517
103.175,23.085,87556,1111,100,-9.938002586364746,-3.4175708293914795,14.377065896987915,2.700228989124298,6.18,-4.431,0.0,-16.118,1.014
94.475,26.22,LUMA,1111,101,11.749,28.844,1.41,1.35,20.11,28.299,0.0,-8.361,0.545
94.475,26.22,LUMA,1111,101,9.931,27.343,0.14,0.12,20.11,28.299,0.0,-10.179,-0.956
94.199,25.652,CHAK,1111,101,8.471,27.544,0.6,0.54,17.836,22.747,0.0,-9.365,4.797
94.475,26.22,LUMA,1111,101,9.879,27.431,0.14,0.13,20.11,28.299,0.0,-10.231,-0.868
93.975,25.955,31183,1111,101,9.02038860321045,28.525054931640625,19.207667112350464,2.9859915375709534,18.566,30.083,0.0,-9.546,-1.558
95.285,26.995,64839,1111,101,-17.04189109802246,23.43853759765625,14.409502744674683,6.050485968589783,17.437,21.494,0.0,-34.479,1.945
94.865,26.605,100872,1111,101,47.89873504638672,24.787891387939453,15.58318018913269,5.114924311637878,18.426,25.612,0.0,29.472,-0.824
95.286,22.049,KWEH,1111,102,1.68,18.294,1.1,0.6,9.409,20.206,0.0,-7.729,-1.912
95.872,23.799,INND,1111,102,-0.592,16.811,1.17,1.15,8.273,17.884,0.0,-8.865,-1.073
95.75,23.848,WUNT,1111,102,3.054,17.681,1.19,1.17,8.83,19.179,0.0,-5.776,-1.498
95.595,21.962,HTIS,1111,102,-0.855,18.12,1.61,1.56,8.3,19.227,0.0,-9.155,-1.107
95.286,22.049,KWEH,1111,102,-2.802,18.347,1.48,1.46,9.409,20.206,0.0,-12.211,-1.859
95.778,22.367,WETL,1111,102,-1.871,12.891,1.63,1.59,8.361,18.079,0.0,-10.232,-5.188
95.795,21.475,932,1111,102,-5.33218240737915,13.744641304016113,9.976484775543213,3.128061592578888,6.793,17.686,0.0,-12.125,-3.941
94.785,24.465,1705,1111,102,14.402545928955078,21.38545036315918,19.351680278778076,3.2832667231559753,12.753,21.116,0.0,1.65,0.27
94.995,20.905,3624,1111,102,-2.829317808151245,20.875560760498047,10.497379302978516,3.0224770307540894,5.751,21.261,0.0,-8.58,-0.385
94.555,19.705,5770,1111,102,4.925622940063477,23.917959213256836,12.462959289550781,3.433106541633606,6.393,29.431,0.0,-1.468,-5.513
95.695,23.835,7256,1111,102,-5.586534023284912,16.797895431518555,15.904147624969482,2.9502704739570618,8.974,19.467,0.0,-14.561,-2.669
95.025,19.535,10586,1111,102,2.2302284240722656,20.034164428710938,10.523340702056885,4.037655889987946,5.282,22.927,0.0,-3.052,-2.893
95.125,22.135,11679,1111,102,2.5394463539123535,20.206100463867188,12.139681577682495,3.453579545021057,10.425,20.604,0.0,-7.886,-0.397
95.485,19.785,12287,1111,102,4.343320846557617,16.53229331970215,9.851295948028564,3.8439884781837463,4.489,19.595,0.0,-0.146,-3.063
95.955,24.635,14466,1111,102,-0.5978816747665405,13.339045524597168,17.828834056854248,4.697519540786743,8.542,17.767,0.0,-9.14,-4.428
95.885,24.635,15015,1111,102,0.552622377872467,14.042864799499512,17.66985297203064,4.6699634194374084,8.74,18.446,0.0,-8.187,-4.403
95.965,17.955,22169,1111,102,-0.983393132686615,11.931756973266602,10.90675950050354,4.110141694545746,9.034,24.73,0.0,-10.018,-12.798
94.715,21.825,24259,1111,102,0.5666058659553528,22.42049789428711,11.583105325698853,4.0424370765686035,11.244,21.027,0.0,-10.678,1.393
94.715,22.065,27959,1111,102,10.686108589172363,22.366926193237305,10.172945261001587,4.041156768798828,12.859,20.96,0.0,-2.173,1.407
